iter	Passed	Remaining
0	43	27635
1	158	50636
2	220	46849
3	258	41113
4	295	37546
5	334	35442
6	372	33760
7	410	32449
8	446	31339
9	485	30664
10	522	29916
11	557	29223
12	589	28455
13	635	28472
14	667	27838
15	703	27472
16	741	27205
17	776	26876
18	811	26564
19	847	26300
20	879	25967
21	917	25810
22	953	25607
23	988	25419
24	1024	25245
25	1057	25014
26	1092	24845
27	1128	24714
28	1162	24542
29	1199	24426
30	1235	24308
31	1270	24183
32	1309	24127
33	1345	24021
34	1385	23997
35	1445	24298
36	1483	24209
37	1515	24055
38	1549	23913
39	1588	23871
40	1628	23834
41	1665	23746
42	1700	23650
43	1733	23523
44	1769	23431
45	1805	23349
46	1841	23279
47	1880	23228
48	1912	23100
49	1948	23036
50	1985	22966
51	2016	22840
52	2054	22792
53	2087	22687
54	2122	22612
55	2164	22611
56	2196	22506
57	2232	22442
58	2269	22386
59	2303	22305
60	2340	22250
61	2374	22176
62	2405	22065
63	2443	22031
64	2483	22006
65	2518	21941
66	2557	21914
67	2600	21914
68	2636	21859
69	2678	21849
70	2713	21782
71	2749	21729
72	2788	21694
73	2826	21654
74	2861	21592
75	2898	21545
76	2939	21527
77	2976	21481
78	3011	21423
79	3044	21349
80	3078	21284
81	3112	21217
82	3146	21152
83	3180	21091
84	3216	21038
85	3247	20960
86	3285	20920
87	3321	20870
88	3355	20809
89	3393	20777
90	3445	20825
91	3512	20959
92	3546	20899
93	3586	20869
94	3621	20812
95	3673	20853
96	3707	20790
97	3737	20710
98	3777	20678
99	3812	20624
100	3848	20573
101	3887	20542
102	3924	20499
103	3960	20449
104	3995	20394
105	4031	20346
106	4066	20295
107	4099	20232
108	4133	20175
109	4170	20133
110	4205	20081
111	4243	20042
112	4277	19988
113	4308	19916
114	4345	19877
115	4378	19818
116	4414	19769
117	4452	19733
118	4485	19674
119	4517	19613
120	4553	19567
121	4595	19548
122	4633	19514
123	4666	19456
124	4699	19401
125	4739	19372
126	4771	19310
